fileID,f1,f2,vot,notes
bi02_kaka,780.46,1573.04,22.72,
bi02_kaka1,795.40,1548.67,24.55,
bi02_kaka2,553.01,1505.50,24.61,
bi02_keke,467.70,2213.47,22.32,
bi02_keke1,461.84,2348.62,19.38,
bi02_keke2,539.66,2308.48,20.76,
bi02_kiki,335.20,2629.95,35.03,
bi02_kiki1,348.13,2688.41,18.94,
bi02_kiki2,339.38,2660.08,28.94,
bi02_koko,616.29,988.13,31.08,
bi02_koko1,598.49,968.73,27.54,
bi02_koko2,498.96,871.27,36.64,
bi02_kuku,471.75,905.41,31.09,
bi02_kuku1,467.67,916.11,33.47,
bi02_kuku2,309.98,763.44,22.79,
bi02_paka,805.33,1633.66,7.79,
bi02_paka1,726.99,1475.39,12.18,
bi02_paka2,673.60,1626.10,9.48,
bi02_peke,497.70,2254.22,11.25,
bi02_peke1,459.38,2361.62,17.05,
bi02_peke2,481.55,2366.23,14.95,
bi02_piki,356.11,1692.35,15.10,
bi02_piki1,286.07,2591.57,10.12,
bi02_piki2,571.24,2681.57,15.00,
bi02_poko,581.31,919.14,11.40,
bi02_poko1,574.15,943.20,9.89,
bi02_poko2,572.50,1059.02,9.17,
bi02_puku,506.84,898.72,22.41,
bi02_puku1,461.45,864.09,14.92,
bi02_puku2,417.95,818.60,18.20,
bi02_taka,814.86,1546.81,11.63,
bi02_taka1,729.43,1529.19,10.07,
bi02_taka2,530.69,1451.19,16.03,
bi02_teke,529.63,2217.07,13.28,
bi02_teke1,466.78,2332.01,12.89,
bi02_teke2,434.10,1001.86,15.14,
bi02_tiki,645.29,2334.00,15.89,
bi02_tiki1,346.26,2746.73,12.88,
bi02_tiki2,488.65,1657.60,18.45,
bi02_toko,464.27,896.65,11.07,
bi02_toko1,555.25,964.93,12.42,
bi02_toko2,607.41,1002.31,13.59,
bi02_tuku,472.87,963.40,15.49,
bi02_tuku1,466.45,932.14,11.79,
bi02_tuku2,517.48,839.36,14.47,
