fileID,f1,f2,vot,notes
ne03_kaka,767.63,1804.41,27.09,
ne03_kaka1,818.99,1724.60,26.26,
ne03_kaka2,880.68,1548.41,38.40,
ne03_keke,656.39,2638.66,30.98,
ne03_keke1,567.72,1765.75,32.05,
ne03_keke2,561.65,2564.21,35.57,
ne03_kiki,507.21,2713.11,37.27,
ne03_kiki1,407.55,2070.10,75.57,
ne03_kiki2,372.83,2804.59,61.01,
ne03_koko,508.95,1070.55,45.93,
ne03_koko1,593.68,1215.79,33.14,
ne03_koko2,569.39,1091.89,35.44,
ne03_kuku,517.86,993.60,49.63,
ne03_kuku1,466.07,1071.68,54.06,
ne03_kuku2,414.71,1055.67,40.61,
ne03_paka,846.07,1788.68,9.91,
ne03_paka1,728.55,1833.31,22.48,
ne03_paka2,745.27,1916.46,8.71,
ne03_peke,548.47,1545.52,12.40,
ne03_peke1,737.50,2480.44,39.25,
ne03_peke2,598.09,2259.72,13.50,
ne03_piki,364.31,2676.45,24.52,
ne03_piki1,379.44,1974.84,38.41,
ne03_piki2,390.64,2164.33,11.29,
ne03_poko,637.83,1122.14,12.79,
ne03_poko1,585.01,1183.87,36.74,
ne03_poko2,594.31,1101.85,40.06,
ne03_puku,753.91,1259.19,29.61,
ne03_puku1,427.18,968.74,47.11,
ne03_puku2,498.77,1000.44,65.56,
ne03_taka,704.38,1693.71,21.15,
ne03_taka1,857.76,1750.56,20.54,
ne03_taka2,632.09,1185.50,16.63,
ne03_teke,576.32,1541.21,39.51,
ne03_teke1,574.61,1873.51,32.45,
ne03_teke2,564.91,1675.47,20.97,
ne03_tiki,379.47,2788.32,45.04,
ne03_tiki1,376.80,1552.83,76.07,
ne03_tiki2,409.40,1767.77,30.69,
ne03_toko,613.94,1104.84,33.19,
ne03_toko1,620.31,1194.22,28.60,
ne03_toko2,531.04,1051.49,24.65,
ne03_tuku,445.65,1096.01,42.40,
ne03_tuku1,428.75,1050.88,59.88,
ne03_tuku2,476.81,1124.22,43.79,
